participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
14,1.0,1.0,1.0,6,98,30.166666666666668,0,0,0.0,1,7.0,3.9903551004708575,16.389722061936858
14,0.0,1.0,0.5,12,46,14.916666666666666,1,18,18.0,1,8.5,3.5030917023648946,18.123033188567632
21,1.0,1.0,1.0,7,37,27.285714285714285,0,0,0.0,0,0.0,0.0,0.0
18,1.0,1.0,0.0,7,44,22.857142857142858,0,0,0.0,0,0.0,0.0,0.0
2,0.0,1.0,0.5,7,45,16.142857142857142,1,22,22.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,10,24,12.2,1,18,18.0,0,0.0,0.0,0.0
7,1.0,1.0,1.0,4,93,45.25,1,24,24.0,0,0.0,0.0,0.0
12,0.0,1.0,0.5,12,32,16.916666666666668,0,0,0.0,0,0.0,0.0,0.0
5,1.0,1.0,0.0,7,49,19.857142857142858,0,0,0.0,0,0.0,0.0,0.0
3,1.0,1.0,0.5,8,45,16.0,1,4,4.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,13,32,12.846153846153847,0,0,0.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,5,56,39.2,0,0,0.0,0,0.0,0.0,0.0
1,1.0,1.0,1.0,11,34,15.454545454545455,1,9,9.0,0,0.0,0.0,0.0
24,1.0,1.0,0.5,10,37,17.1,0,0,0.0,0,0.0,0.0,0.0
4,1.0,1.0,1.0,12,17,10.25,0,0,0.0,0,0.0,0.0,0.0
13,1.0,1.0,1.0,6,29,20.666666666666668,2,12,11.5,0,0.0,0.0,0.0
21,1.0,1.0,0.0,4,59,40.25,1,25,25.0,1,7.5,6.041358353840238,21.737318394673586
2,1.0,1.0,0.0,10,29,11.1,1,29,29.0,0,0.0,0.0,0.0
23,1.0,1.0,0.5,9,67,22.88888888888889,0,0,0.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,8,30,15.625,0,0,0.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,10,39,18.1,0,0,0.0,0,0.0,0.0,0.0
21,0.0,1.0,1.0,6,28,19.0,1,58,58.0,0,0.0,0.0,0.0
