participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
25,1.0,1.0,1.0,11,58,25.272727272727273
4,0.0,1.0,0.5,17,41,16.176470588235293
25,1.0,1.0,1.0,10,118,28.8
5,1.0,1.0,0.5,21,25,12.19047619047619
23,1.0,1.0,0.0,10,49,18.2
22,1.0,1.0,1.0,11,57,24.0
17,1.0,1.0,1.0,17,33,15.176470588235293
23,0.0,1.0,0.5,11,41,15.272727272727273
21,1.0,1.0,1.0,11,26,14.818181818181818
2,0.0,1.0,0.0,7,50,39.57142857142857
23,1.0,1.0,1.0,16,32,18.0
1,0.0,1.0,0.0,12,60,19.833333333333332
23,0.0,1.0,0.5,9,58,27.444444444444443
3,0.0,1.0,0.5,11,43,15.818181818181818
3,1.0,1.0,1.0,15,44,18.733333333333334
14,1.0,1.0,1.0,13,106,20.0
4,0.0,1.0,0.5,11,23,13.181818181818182
13,1.0,1.0,1.0,12,50,20.5
12,1.0,1.0,1.0,16,62,16.8125
26,1.0,1.0,1.0,6,116,56.0
17,1.0,1.0,1.0,10,129,31.0
16,1.0,1.0,1.0,9,85,31.444444444444443
15,1.0,1.0,0.5,16,24,12.5
12,1.0,1.0,1.0,16,40,16.3125
19,1.0,1.0,1.0,9,66,26.77777777777778
9,1.0,1.0,0.5,10,74,30.7
2,1.0,1.0,0.0,7,23,13.857142857142858
21,1.0,1.0,0.5,8,64,36.125
14,1.0,1.0,1.0,8,140,39.625
4,1.0,1.0,1.0,12,27,12.833333333333334
1,1.0,1.0,1.0,14,36,13.285714285714286
24,0.0,1.0,0.5,6,150,54.333333333333336
8,0.0,1.0,0.0,17,25,10.470588235294118
25,1.0,1.0,1.0,12,30,16.833333333333332
26,1.0,1.0,0.5,8,35,14.875
9,1.0,1.0,1.0,11,41,25.272727272727273
14,1.0,1.0,0.5,8,97,41.25
4,1.0,1.0,1.0,12,47,13.666666666666666
15,1.0,1.0,0.5,14,37,19.357142857142858
25,1.0,1.0,1.0,10,47,25.8
21,1.0,1.0,1.0,11,91,23.636363636363637
4,1.0,1.0,0.5,12,45,14.166666666666666
10,0.0,1.0,0.5,11,53,28.181818181818183
23,1.0,1.0,1.0,13,24,14.307692307692308
3,0.0,1.0,0.5,12,40,26.166666666666668
3,0.0,1.0,0.5,17,32,16.529411764705884
19,1.0,1.0,0.0,7,122,35.0
25,0.0,1.0,0.5,8,51,30.25
13,1.0,1.0,1.0,10,51,21.1
18,1.0,1.0,1.0,9,74,29.666666666666668
2,0.0,1.0,0.0,12,48,21.5
14,1.0,1.0,0.5,13,127,21.23076923076923
3,1.0,1.0,0.5,10,158,32.8
8,1.0,1.0,0.0,7,94,37.142857142857146
26,0.0,1.0,0.0,11,46,20.545454545454547
15,0.0,1.0,0.5,14,31,15.0
16,0.0,1.0,0.5,11,57,21.818181818181817
17,0.0,1.0,0.5,13,52,16.692307692307693
9,1.0,1.0,1.0,13,50,20.23076923076923
19,1.0,1.0,1.0,10,68,17.8
7,1.0,1.0,0.5,5,127,62.0
4,1.0,1.0,1.0,7,76,33.285714285714285
