participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
1,1.0,0.0,,2,73,46.0
19,0.0,0.0,,0,0,0.0
6,0.0,0.0,,1,108,108.0
13,0.0,0.0,,0,0,0.0
1,1.0,0.0,,0,0,0.0
21,1.0,0.0,,1,32,32.0
6,0.0,0.0,,1,30,30.0
23,0.0,0.0,,1,47,47.0
6,0.0,0.0,,0,0,0.0
7,0.0,0.0,,0,0,0.0
14,0.0,0.0,,2,41,31.0
1,1.0,0.0,,0,0,0.0
21,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
19,1.0,0.0,,0,0,0.0
9,1.0,0.0,,1,16,16.0
23,0.0,0.0,,0,0,0.0
25,0.0,0.0,,1,18,18.0
18,1.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
2,0.0,0.0,,1,198,198.0
22,0.0,0.0,,1,39,39.0
7,1.0,0.0,,2,26,26.0
15,0.0,0.0,,1,161,161.0
15,1.0,0.0,,1,39,39.0
16,1.0,0.0,,0,0,0.0
12,0.0,0.0,,0,0,0.0
13,1.0,0.0,,1,23,23.0
15,0.0,0.0,,1,161,161.0
16,1.0,0.0,,1,25,25.0
8,1.0,0.0,,0,0,0.0
16,1.0,0.0,,1,106,106.0
9,1.0,0.0,,1,11,11.0
22,0.0,0.0,,1,30,30.0
16,1.0,0.0,,1,27,27.0
23,0.0,0.0,,0,0,0.0
8,1.0,0.0,,1,67,67.0
14,0.0,0.0,,1,24,24.0
25,0.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
9,1.0,0.0,,1,63,63.0
6,0.0,0.0,,1,16,16.0
25,0.0,0.0,,1,162,162.0
9,0.0,0.0,,1,16,16.0
9,1.0,0.0,,1,11,11.0
21,1.0,0.0,,1,152,152.0
9,0.0,0.0,,2,22,21.0
13,1.0,0.0,,1,120,120.0
3,0.0,0.0,,1,17,17.0
13,0.0,0.0,,2,66,41.0
18,1.0,0.0,,0,0,0.0
3,1.0,0.0,,1,22,22.0
24,0.0,0.0,,1,21,21.0
1,1.0,0.0,,0,0,0.0
19,0.0,0.0,,1,18,18.0
