participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
14,0.0,0.0,,0.4313499927520752,0.14389991760253906,0.0037866045190335837,0.18812758698422685,0.18812758698422685,0.16929939985275266,114,2,20.5,8.568547294580728,36.21812696430233,0,0.0,0.0,0.0
19,1.0,0.0,,0.0,5.422250032424927,-0.017357944673720295,-0.6297017254381099,-0.6297017254381099,-0.6948246497334095,0,3,10.666666666666666,20.47349104309056,136.72122811822615,0,0.0,0.0,0.0
9,0.0,0.0,,0.3699002265930176,0.09025073051452637,-0.00040032943150543007,0.17261697351932526,0.17261697351932526,0.14526242017745972,63,3,12.0,12.471893600590333,50.25932053668058,0,0.0,0.0,0.0
6,0.0,0.0,,0.0,7.289694309234619,-0.0027883037873182247,-0.31070563197135925,-0.31070563197135925,-0.2850683629512787,0,1,21.0,15.200694414400663,31.938137005399316,0,0.0,0.0,0.0
13,1.0,0.0,,0.095961139119904,0.1295699004469233,0.0005475140430406021,0.03618404396578797,0.03618404396578797,0.035168397015538644,75,1,14.0,1.7745385228681716,5.13889214113565,0,0.0,0.0,0.0
12,1.0,0.0,,0.3014500141143799,1.8369009494781494,-0.002558810546659024,0.08893929421901703,0.08893929421901703,0.07716870307922363,22,0,0.0,0.0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.0,7.259655475616455,-0.0037166069658283963,-0.3909207880496979,-0.3909207880496979,-0.3545314073562622,0,1,23.0,18.481505027829307,77.99387099078757,1,7.0,3.8610098219142417,20.649249378109758
4,0.0,0.0,,0.42404985427856445,1.9418535232543945,0.0034660906938106016,0.07527721673250198,0.07527721673250198,0.05503112077713013,116,4,10.75,25.332615704216227,97.73846742104934,0,0.0,0.0,0.0
4,0.0,0.0,,0.027299880981445312,16.95605182647705,-0.0005338741771917119,-0.20987777411937714,-0.20987777411937714,-0.20669373869895935,3,3,17.333333333333332,21.366269564885126,95.30150350629911,1,11.0,2.940331986132865,23.850175301234238
18,1.0,0.0,,0.2109994888305664,1.35630464553833,0.0016094157542455496,0.026412267237901688,0.026412267237901688,0.036262333393096924,115,1,7.0,22.76749373558841,70.71722106436037,0,0.0,0.0,0.0
22,0.0,0.0,,0.10249996185302734,0.5953001976013184,0.0008937851460734722,0.007744405884295702,0.007744405884295702,-0.0010437965393066406,116,1,35.0,3.4178729388568456,13.63394668651382,0,0.0,0.0,0.0
18,1.0,0.0,,0.3795003890991211,7.545140504837036,0.005080250253903036,-0.11360317468643188,-0.11360317468643188,-0.08300608396530151,109,3,16.666666666666668,32.160037747843845,166.80815880772641,0,0.0,0.0,0.0
2,0.0,0.0,,0.12419998645782471,2.0655497312545776,-0.002709921749605454,-0.0687368909517924,-0.0687368909517924,-0.11218994855880737,2,3,29.0,15.737526409754764,106.4971835776381,0,0.0,0.0,0.0
3,0.0,0.0,,0.33955019398739417,0.4983497293371899,0.0009280890719876194,0.11788634968619062,0.11788634968619062,0.11028126352711731,38,3,13.333333333333334,18.52705681380278,151.60477091595422,0,0.0,0.0,0.0
8,1.0,0.0,,0.4567999839782715,0.03255009651184082,0.0014067575365798168,0.14847856097751194,0.14847856097751194,0.17302363640383667,80,2,28.0,9.50346548537128,129.02898089707566,0,0.0,0.0,0.0
4,0.0,0.0,,0.3961000442504883,0.25349879264831543,0.0004752071928246586,0.20032711327075958,0.20032711327075958,0.18548136949539185,87,2,19.0,20.833274154516808,124.11627913196543,0,0.0,0.0,0.0
8,1.0,0.0,,0.06350016593933105,28.41019916534424,-0.004667244640450898,-0.40107643604278564,-0.40107643604278564,-0.3680124580860138,1,3,22.333333333333332,24.062735378450117,165.9535737717898,0,0.0,0.0,0.0
7,0.0,0.0,,0.18540000915527344,4.811744213104248,0.0008589255282596937,-0.055699363350868225,-0.055699363350868225,-0.056681036949157715,3,0,0.0,0.0,0.0,1,9.5,3.5334913694876717,14.06372727755522
7,1.0,0.0,,0.15439987182617188,2.7736001014709473,-0.001670410911454757,-0.06723804026842117,-0.06723804026842117,-0.06706887483596802,14,3,7.0,17.943332848015896,104.13079185577048,1,9.5,3.1955941521215805,15.311021922182388
15,1.0,0.0,,0.16354990005493164,9.466450095176697,-0.003582266963643522,-0.14364104902642405,-0.14364104902642405,-0.13744308480194634,7,3,29.0,25.088096397048343,128.87543104524178,0,0.0,0.0,0.0
15,0.0,0.0,,0.016250133514404297,19.81294894218445,-0.009360603797130098,-0.6696276068687439,-0.6696276068687439,-0.6574749946594238,5,2,13.5,13.639262370166762,154.8520259599698,0,0.0,0.0,0.0
