participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
25,1.0,1.0,1.0,6,37,24.666666666666668,0,0,0.0
24,1.0,1.0,0.5,8,42,25.0,0,0,0.0
18,1.0,1.0,0.0,3,40,19.333333333333332,0,0,0.0
17,1.0,1.0,1.0,11,50,18.636363636363637,0,0,0.0
6,1.0,1.0,0.0,9,22,14.444444444444445,0,0,0.0
14,1.0,1.0,1.0,7,41,17.142857142857142,1,65,65.0
3,1.0,1.0,1.0,10,31,20.2,0,0,0.0
1,1.0,1.0,1.0,7,52,28.142857142857142,1,12,12.0
19,1.0,1.0,1.0,9,26,14.0,0,0,0.0
6,1.0,1.0,1.0,6,16,13.666666666666666,1,21,21.0
21,1.0,1.0,1.0,5,39,27.4,0,0,0.0
25,0.0,1.0,0.5,5,38,29.8,0,0,0.0
23,1.0,1.0,0.5,7,67,20.428571428571427,1,89,89.0
17,1.0,1.0,0.5,11,72,17.181818181818183,0,0,0.0
13,0.0,1.0,0.5,8,81,26.5,1,22,22.0
21,0.0,1.0,0.5,8,45,18.875,0,0,0.0
23,0.0,1.0,0.0,7,26,13.857142857142858,1,40,40.0
4,1.0,1.0,1.0,10,17,9.3,0,0,0.0
8,0.0,1.0,0.0,7,11,8.142857142857142,0,0,0.0
3,1.0,1.0,0.5,4,121,54.25,1,2,2.0
4,1.0,1.0,0.5,10,25,16.8,1,41,41.0
12,1.0,1.0,1.0,7,57,31.714285714285715,0,0,0.0
13,1.0,1.0,1.0,6,101,30.0,1,13,13.0
4,1.0,1.0,0.5,4,21,13.0,1,11,11.0
9,1.0,1.0,1.0,6,81,33.166666666666664,1,20,20.0
9,0.0,1.0,0.5,5,57,33.4,2,22,21.5
21,0.0,1.0,0.0,5,46,26.0,1,30,30.0
24,0.0,1.0,0.5,4,12,9.0,0,0,0.0
2,1.0,1.0,1.0,7,53,20.857142857142858,1,22,22.0
22,1.0,1.0,1.0,12,36,15.166666666666666,2,18,16.5
9,0.0,1.0,0.5,11,47,18.727272727272727,1,4,4.0
25,1.0,1.0,1.0,5,69,27.4,1,27,27.0
22,1.0,1.0,1.0,7,67,30.0,0,0,0.0
23,1.0,1.0,1.0,5,33,14.6,0,0,0.0
24,0.0,1.0,0.5,9,31,14.88888888888889,0,0,0.0
19,1.0,1.0,1.0,5,45,22.2,1,71,71.0
9,1.0,1.0,1.0,7,92,28.714285714285715,1,23,23.0
3,1.0,1.0,1.0,9,53,23.555555555555557,0,0,0.0
9,0.0,1.0,0.0,4,46,30.0,1,17,17.0
26,0.0,1.0,0.5,17,23,11.529411764705882,0,0,0.0
8,1.0,1.0,0.5,9,86,19.22222222222222,0,0,0.0
18,1.0,1.0,1.0,7,70,26.142857142857142,0,0,0.0
24,0.0,1.0,0.5,4,71,48.75,0,0,0.0
1,1.0,1.0,0.0,6,23,11.666666666666666,1,9,9.0
16,1.0,1.0,0.0,6,36,31.5,0,0,0.0
4,0.0,1.0,0.5,5,19,12.8,0,0,0.0
4,0.0,1.0,0.5,9,22,13.666666666666666,0,0,0.0
19,1.0,1.0,1.0,7,55,18.428571428571427,1,17,17.0
8,1.0,1.0,1.0,8,26,12.375,0,0,0.0
9,1.0,1.0,1.0,10,49,13.9,1,18,18.0
23,0.0,1.0,0.5,5,14,10.4,1,46,46.0
14,0.0,1.0,0.5,9,33,17.666666666666668,0,0,0.0
14,1.0,1.0,1.0,9,37,20.444444444444443,2,25,14.5
15,1.0,1.0,1.0,10,31,14.9,1,42,42.0
13,1.0,1.0,1.0,12,34,14.916666666666666,1,11,11.0
21,1.0,1.0,0.5,6,74,33.166666666666664,0,0,0.0
3,0.0,1.0,0.5,10,46,13.6,1,27,27.0
7,1.0,1.0,1.0,4,86,42.25,1,130,130.0
5,1.0,1.0,1.0,9,32,17.88888888888889,0,0,0.0
9,1.0,1.0,1.0,7,46,22.142857142857142,1,18,18.0
4,0.0,1.0,0.5,8,15,9.75,0,0,0.0
7,0.0,1.0,0.5,2,141,102.5,1,20,20.0
22,1.0,1.0,1.0,8,52,20.5,0,0,0.0
1,1.0,1.0,1.0,5,47,30.0,1,34,34.0
6,0.0,1.0,0.5,8,71,24.375,0,0,0.0
