participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
13,1.0,0.0,,6,38,22.333333333333332,1,120,120.0
8,1.0,0.0,,8,61,17.0,1,15,15.0
4,0.0,0.0,,7,12,8.285714285714286,0,0,0.0
26,0.0,0.0,,12,30,15.916666666666666,1,29,29.0
15,0.0,0.0,,8,21,14.875,1,51,51.0
26,0.0,0.0,,8,33,15.25,0,0,0.0
15,1.0,0.0,,11,20,13.272727272727273,1,39,39.0
13,1.0,0.0,,2,200,111.0,1,13,13.0
13,0.0,0.0,,7,58,27.285714285714285,0,0,0.0
24,0.0,0.0,,6,63,30.333333333333332,1,30,30.0
5,0.0,0.0,,9,26,12.0,1,25,25.0
24,0.0,0.0,,3,101,59.333333333333336,2,34,25.5
18,1.0,0.0,,7,18,9.714285714285714,1,5,5.0
16,0.0,0.0,,9,20,12.0,1,26,26.0
14,0.0,0.0,,10,65,17.1,0,0,0.0
6,0.0,0.0,,9,39,18.11111111111111,1,30,30.0
10,1.0,0.0,,8,44,23.75,1,74,74.0
18,1.0,0.0,,6,71,33.0,0,0,0.0
23,0.0,0.0,,8,18,11.0,0,0,0.0
5,0.0,0.0,,1,54,54.0,1,16,16.0
21,1.0,0.0,,8,44,19.625,0,0,0.0
23,0.0,0.0,,8,47,24.375,1,42,42.0
7,1.0,0.0,,6,86,31.833333333333332,1,142,142.0
2,1.0,0.0,,12,60,16.166666666666668,1,23,23.0
6,0.0,0.0,,8,18,12.0,1,27,27.0
22,0.0,0.0,,1,159,159.0,0,0,0.0
25,0.0,0.0,,9,37,13.0,1,162,162.0
12,1.0,0.0,,6,56,34.333333333333336,0,0,0.0
21,0.0,0.0,,8,52,20.125,1,102,102.0
26,0.0,0.0,,4,14,10.75,0,0,0.0
17,1.0,0.0,,10,48,17.5,0,0,0.0
18,1.0,0.0,,7,26,12.142857142857142,1,5,5.0
4,0.0,0.0,,9,21,12.777777777777779,0,0,0.0
24,0.0,0.0,,10,42,16.9,0,0,0.0
3,0.0,0.0,,7,46,26.285714285714285,1,18,18.0
15,0.0,0.0,,8,43,23.375,1,30,30.0
24,1.0,0.0,,4,27,21.0,1,74,74.0
14,0.0,0.0,,8,32,18.375,1,122,122.0
1,1.0,0.0,,10,74,22.1,0,0,0.0
16,0.0,0.0,,6,61,21.833333333333332,1,38,38.0
3,0.0,0.0,,6,37,24.0,1,220,220.0
23,0.0,0.0,,7,25,15.428571428571429,0,0,0.0
23,0.0,0.0,,9,65,18.333333333333332,0,0,0.0
13,0.0,0.0,,6,59,31.5,0,0,0.0
14,0.0,0.0,,10,29,18.3,0,0,0.0
24,1.0,0.0,,12,25,15.916666666666666,0,0,0.0
4,0.0,0.0,,4,83,45.0,0,0,0.0
4,0.0,0.0,,5,33,21.8,1,88,88.0
2,0.0,0.0,,9,30,20.22222222222222,2,33,21.0
14,0.0,0.0,,5,39,32.8,0,0,0.0
23,0.0,0.0,,9,15,10.777777777777779,0,0,0.0
21,1.0,0.0,,7,32,16.428571428571427,1,36,36.0
8,1.0,0.0,,11,20,10.636363636363637,0,0,0.0
23,0.0,0.0,,5,95,29.6,1,46,46.0
16,0.0,0.0,,9,38,18.333333333333332,0,0,0.0
6,0.0,0.0,,7,44,25.142857142857142,1,16,16.0
19,0.0,0.0,,9,39,15.666666666666666,0,0,0.0
3,0.0,0.0,,8,32,17.5,0,0,0.0
14,0.0,0.0,,2,160,95.0,1,18,18.0
14,0.0,0.0,,5,98,33.4,1,20,20.0
25,0.0,0.0,,7,36,17.571428571428573,1,18,18.0
